host_since,host_response_time,host_response_rate percentage,host_is_superhost,host_total_listings_count,Number of Verication ways,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,Number of amenities,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,calendar_updated_Daysago,number_of_reviews,lates_review within a month?,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,average_price
2011,within an hour,93,f,12,6,t,f,Charlestown,2129,Apartment,Entire home/apt,7,2,3,2,Real Bed,26,204.28,200,7,50,2,60,2,f,100,10,8,10,10,8,10,f,strict_14_with_grace_period,f,t,7,4,3,0,0.03,595
2011,within an hour,100,f,2,6,t,t,South Boston,2127,Apartment,Entire home/apt,4,1,2,2,Real Bed,19,300,40,4,25,2,42,7,f,90,9,8,9,9,9,9,f,strict_14_with_grace_period,t,t,1,1,0,0,0.08,207.12
2013,Not Sure,96.40529571,f,1,3,t,f,Back Bay,2116,Apartment,Entire home/apt,4,1,1,1,Real Bed,14,204.28,72.07,1,0,1,1800,2,f,90,10,9,10,10,10,10,f,flexible,f,f,1,1,0,0,0.03,150
2014,Not Sure,96.40529571,f,1,5,t,t,West Roxbury,2467,Apartment,Entire home/apt,4,1,1,2,Real Bed,11,204.28,72.07,1,0,1,1170,4,f,93,9,10,10,10,9,9,f,flexible,f,f,1,1,0,0,0.07,119
2013,within a few hours,98,f,441,6,t,t,West End,2114,Other,Entire home/apt,5,2,2,3,Real Bed,35,204.28,100,1,0,7,0,4,f,100,10,10,9,10,10,10,f,moderate,f,t,116,116,0,0,0.06,298.5
2013,within a few hours,98,f,441,6,t,t,Downtown,2111,Apartment,Entire home/apt,3,1,1,2,Real Bed,38,204.28,100,1,0,28,0,3,f,93,9,9,9,9,9,9,f,moderate,f,t,116,116,0,0,0.05,381.7
2009,Not Sure,96.40529571,f,2,8,t,t,Allston,2163,Apartment,Entire home/apt,6,1,2,2,Real Bed,23,192,61,4,8,7,600,1,f,100,10,10,10,10,10,10,f,moderate,f,f,1,1,0,0,0.02,114
2012,Not Sure,96.40529571,f,1,5,t,t,Jamaica Plain,2130,House,Entire home/apt,2,1.5,1,1,Real Bed,12,204.28,50,1,0,5,750,1,f,80,8,8,10,8,8,8,f,strict_14_with_grace_period,f,f,1,1,0,0,0.02,135
2013,within a few hours,98,f,441,6,t,t,Downtown,2116,Apartment,Entire home/apt,3,1,1,2,Real Bed,37,204.28,100,1,0,28,0,1,f,80,8,10,10,10,8,10,f,moderate,f,t,116,116,0,0,0.02,381.7
2013,within a few hours,98,f,441,6,t,t,Chinatown,2111,Apartment,Entire home/apt,3,1,1,2,Real Bed,22,204.28,100,1,0,2,0,3,f,100,10,10,10,9,8,9,f,moderate,f,t,116,116,0,0,0.05,302.85
2013,within a few hours,98,f,441,6,t,t,West End,2114,Apartment,Entire home/apt,3,1,1,2,Real Bed,27,204.28,100,1,0,7,0,1,f,100,10,10,10,10,10,10,f,moderate,f,t,116,116,0,0,0.02,311.38
2011,Not Sure,96.40529571,f,1,4,t,t,South Boston,2127,Condominium,Entire home/apt,4,2,2,2,Real Bed,23,200,75,1,25,2,930,6,f,97,10,10,10,10,9,8,f,strict_14_with_grace_period,t,f,1,1,0,0,0.1,263.53
2013,within a few hours,98,f,441,6,t,t,Back Bay,2116,Apartment,Entire home/apt,3,1,1,2,Real Bed,34,204.28,100,1,0,3,0,5,f,92,10,10,8,10,10,9,f,moderate,f,t,116,116,0,0,0.09,333.46
2013,within a few hours,98,f,441,6,t,t,Back Bay,2116,Apartment,Entire home/apt,3,1,1,2,Real Bed,34,204.28,100,1,0,3,0,6,f,90,9,9,8,9,10,9,f,moderate,f,t,116,116,0,0,0.1,333.46
2014,Not Sure,96.40529571,f,1,5,t,t,Downtown,2114,Apartment,Entire home/apt,2,1.5,0,1,Real Bed,10,204.28,35,1,0,1,1440,1,f,100,10,10,10,10,10,10,f,flexible,f,f,1,1,0,0,0.02,145.86
2014,Not Sure,96.40529571,f,1,5,t,t,Back Bay,2115,Apartment,Entire home/apt,4,1,1,1,Real Bed,19,200,100,2,0,2,720,3,f,100,10,8,10,10,10,10,f,strict_14_with_grace_period,f,f,1,1,0,0,0.06,250
2012,Not Sure,96.40529571,f,1,3,t,f,Allston,2134,House,Private room,2,1,1,1,Futon,11,204.28,72.07,1,0,1,1560,1,f,100,6,10,10,10,10,10,f,flexible,f,f,1,0,1,0,0.02,120
2015,Not Sure,96.40529571,f,1,3,t,f,South Boston,2127,Apartment,Entire home/apt,2,1,1,1,Real Bed,12,204.28,72.07,2,25,3,1200,1,f,100,10,10,10,10,10,10,f,moderate,f,f,1,1,0,0,0.02,225
2012,Not Sure,96.40529571,f,2,4,t,t,Jamaica Plain,2130,Apartment,Entire home/apt,8,1.5,4,4,Real Bed,22,300,100,6,25,4,420,2,f,100,10,10,9,10,9,9,f,strict_14_with_grace_period,f,f,2,2,0,0,0.03,300
2010,Not Sure,96.40529571,f,1,5,t,t,Beacon Hill,2114,Apartment,Entire home/apt,3,1,2,2,Real Bed,39,250,0,1,0,5,180,7,f,97,10,9,10,10,10,9,f,strict_14_with_grace_period,f,f,1,1,0,0,0.11,475
2014,Not Sure,96.40529571,f,1,5,t,t,North End,2113,Apartment,Private room,2,1,1,1,Real Bed,8,204.28,72.07,1,0,1,,1,f,100,10,10,10,10,10,10,f,flexible,f,f,1,0,1,0,0.02,175
2013,within a few hours,98,f,441,6,t,t,West End,2114,Other,Entire home/apt,3,1,1,2,Real Bed,39,204.28,100,1,0,7,0,6,f,97,10,10,10,10,10,9,f,moderate,f,t,116,116,0,0,0.1,315.63
2015,Not Sure,96.40529571,f,1,8,t,f,Brighton,2135,Apartment,Private room,2,1.5,1,1,Real Bed,8,204.28,72.07,1,0,5,1560,1,f,93.03,9.58,9.43,9.73,9.67,9.58,9.26,f,flexible,f,f,1,0,1,0,0.02,75
2013,Not Sure,96.40529571,f,1,4,t,t,Fenway,2215,Apartment,Private room,2,1,1,1,Real Bed,18,204.28,72.07,1,0,2,1470,1,f,100,10,10,10,10,10,10,f,flexible,f,f,1,0,1,0,0.02,110
2012,Not Sure,96.40529571,f,1,9,t,f,Jamaica Plain,2130,Bed and breakfast,Private room,2,1,1,1,Real Bed,11,204.28,72.07,1,0,300,1410,3,f,100,10,9,9,9,10,10,f,flexible,f,f,1,0,1,0,0.04,55
2015,Not Sure,96.40529571,f,1,5,t,t,South End,2118,Apartment,Private room,2,1,1,1,Real Bed,17,204.28,45,1,0,2,1140,1,f,100,10,10,10,10,10,10,f,moderate,f,f,1,0,1,0,0.02,90
2014,Not Sure,96.40529571,f,1,5,t,t,Mission Hill,2120,Apartment,Private room,2,2,1,1,Real Bed,0,204.28,72.07,1,0,1,1260,5,f,92,10,9,9,9,9,9,f,strict_14_with_grace_period,f,f,1,0,1,0,0.1,79
2013,Not Sure,96.40529571,f,1,4,t,t,Back Bay,2115,Apartment,Entire home/apt,3,1,1,1,Real Bed,13,204.28,40,2,50,1,900,35,f,100,10,10,10,10,10,10,f,moderate,f,f,1,1,0,0,0.56,199
2010,a few days or more,0,f,1,6,t,t,South End,2118,Apartment,Entire home/apt,2,1,1,1,Real Bed,12,200,75,1,0,2,420,1,f,100,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,1,1,0,0,0.02,250
2015,Not Sure,96.40529571,f,1,6,t,t,Allston,2134,House,Private room,4,1,1,2,Real Bed,19,200,35,2,35,2,1080,1,f,100,8,10,10,10,8,8,f,flexible,f,f,1,0,1,0,0.02,75
2011,within a day,100,f,1,5,t,t,Roslindale,2131,House,Entire home/apt,5,1,1,3,Real Bed,17,500,35,1,30,45,35,68,f,97,10,10,10,10,9,10,f,strict_14_with_grace_period,f,t,1,1,0,0,0.72,300
2014,within a day,90,f,4,3,t,t,Fenway,2215,Apartment,Entire home/apt,2,1,1,1,Real Bed,12,500,72.07,1,0,60,690,8,f,98,10,9,10,10,10,9,f,moderate,f,f,1,1,0,0,0.13,175
2014,within a day,90,f,30,6,t,t,Roxbury,2119,Apartment,Private room,1,1,1,1,Real Bed,15,300,40,1,0,14,3,1,f,80,10,10,10,10,8,8,f,strict_14_with_grace_period,f,f,30,0,30,0,0.02,36
2013,Not Sure,96.40529571,f,1,5,t,t,Allston,2134,Apartment,Private room,2,1,1,1,Real Bed,5,204.28,72.07,1,0,1,1470,1,f,40,6,2,8,6,6,2,f,flexible,f,f,1,0,1,0,0.02,45
2014,Not Sure,96.40529571,f,1,4,t,t,North End,2113,Loft,Entire home/apt,2,1,1,1,Real Bed,15,204.28,40,1,0,2,1290,1,f,100,10,10,10,10,10,10,f,moderate,f,f,1,1,0,0,0.02,240
2014,within a few hours,100,f,1,3,t,f,Dorchester,2125,Apartment,Private room,2,1,1,1,Real Bed,11,204.28,72.07,1,0,4,4,10,f,90,10,10,10,10,10,10,t,flexible,f,f,1,0,1,0,0.17,61.64
2014,Not Sure,96.40529571,f,2,4,t,t,South End,2118,Apartment,Entire home/apt,3,1,1,1,Real Bed,8,204.28,72.07,1,0,3,1500,5,f,92,10,9,10,10,10,9,f,strict_14_with_grace_period,f,f,1,1,0,0,0.08,160
2013,Not Sure,96.40529571,f,1,6,t,t,South Boston,2127,Apartment,Private room,3,1,1,1,Real Bed,14,100,35,1,70,1,1740,34,f,84,9,8,9,9,8,8,f,moderate,f,f,1,0,1,0,0.46,97.55
2013,Not Sure,96.40529571,f,1,9,t,f,Downtown,2114,Apartment,Entire home/apt,2,1,1,1,Real Bed,11,204.28,72.07,1,0,1,1470,2,f,100,10,10,10,10,10,10,f,flexible,f,f,1,1,0,0,0.04,225
2010,Not Sure,96.40529571,f,1,5,t,t,Charlestown,2129,Apartment,Private room,2,1,1,1,Real Bed,13,204.28,0,2,50,2,990,1,f,80,10,10,10,8,8,8,f,strict_14_with_grace_period,f,f,1,0,1,0,0.02,300
2015,Not Sure,96.40529571,f,1,5,t,t,Back Bay,2115,Apartment,Entire home/apt,4,1,1,1,Real Bed,12,500,30,2,15,1,1110,2,f,100,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,1,1,0,0,0.04,230
2015,Not Sure,96.40529571,f,1,5,t,t,Fenway,2215,Apartment,Entire home/apt,4,1,0,2,Real Bed,12,204.28,72.07,4,20,3,990,3,f,80,10,9,10,10,9,8,f,moderate,f,f,1,1,0,0,0.06,195
2015,Not Sure,96.40529571,f,1,4,t,t,Roslindale,2131,House,Entire home/apt,5,3.5,4,3,Real Bed,16,500,100,1,0,14,1350,1,f,100,10,10,10,10,10,10,f,moderate,f,f,1,1,0,0,0.02,175
2012,Not Sure,96.40529571,f,1,5,t,t,Beacon Hill,2114,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,14,1000,100,1,0,7,1440,1,f,100,10,8,10,10,10,10,f,flexible,f,f,1,1,0,0,0.02,238.55
2014,Not Sure,96.40529571,f,1,4,t,t,South End,2116,Apartment,Entire home/apt,2,1,0,1,Real Bed,10,204.28,72.07,1,0,1,1470,1,f,60,6,10,10,6,10,10,f,flexible,f,f,1,1,0,0,0.02,146
2015,Not Sure,96.40529571,f,1,6,t,t,Mission Hill,2120,Apartment,Private room,2,1.5,1,1,Real Bed,0,204.28,72.07,1,0,1,1440,5,f,64,8,5,9,10,9,8,f,flexible,f,f,1,0,1,0,0.1,75
2014,Not Sure,96.40529571,f,1,3,t,f,Brighton,2135,Apartment,Entire home/apt,2,1,0,1,Real Bed,7,204.28,72.07,1,0,1,1080,4,f,100,10,10,10,10,10,10,f,flexible,f,f,1,1,0,0,0.07,90
2014,Not Sure,96.40529571,f,1,6,t,t,Allston,2134,House,Private room,1,1,1,1,Real Bed,11,204.28,72.07,1,0,1,1470,2,f,50,7,6,8,7,8,5,f,flexible,f,f,1,0,1,0,0.04,35
2012,Not Sure,96.40529571,f,1,4,t,t,South End,2118,Apartment,Entire home/apt,2,1,1,1,Real Bed,14,500,25,1,0,2,1410,1,f,100,10,10,10,10,10,10,f,flexible,f,f,1,1,0,0,0.02,140
