host_response_rate.percentage,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,bed_type,Number.of.amenities,security_deposit,cleaning_fee,instant_bookable,cancellation_policy,require_guest_phone_verification,average_price,if_review_score96,sqrt.host_total_listings_count,sqrt.accommodates,sqrt.security_deposit,sqrt.number_of_reviews,HierCluster,KMeansCluster
93,12,f,Charlestown,Apartment,Entire home/apt,7,2,3,Real Bed,26,204.28,200,f,strict_14_with_grace_period,t,595,t,3.464101615,2.645751311,14.29265546,1.414213562,1,2
100,2,t,South Boston,Apartment,Entire home/apt,4,1,2,Real Bed,19,300,40,f,strict_14_with_grace_period,t,207.12,f,1.414213562,2,17.32050808,2.645751311,2,6
96.40529571,1,f,Back Bay,Apartment,Entire home/apt,4,1,1,Real Bed,14,204.28,72.07,f,flexible,f,150,f,1,2,14.29265546,1.414213562,3,6
96.40529571,1,t,West Roxbury,Apartment,Entire home/apt,4,1,1,Real Bed,11,204.28,72.07,f,flexible,f,119,f,1,2,14.29265546,2,3,6
98,441,t,West End,Other,Entire home/apt,5,2,2,Real Bed,35,204.28,100,f,moderate,t,298.5,t,21,2.236067977,14.29265546,2,1,7
98,441,t,Downtown,Apartment,Entire home/apt,3,1,1,Real Bed,38,204.28,100,f,moderate,t,381.7,f,21,1.732050808,14.29265546,1.732050808,1,7
96.40529571,2,t,Allston,Apartment,Entire home/apt,6,1,2,Real Bed,23,192,61,f,moderate,f,114,t,1.414213562,2.449489743,13.85640646,1,1,3
96.40529571,1,t,Jamaica Plain,House,Entire home/apt,2,1.5,1,Real Bed,12,204.28,50,f,strict_14_with_grace_period,f,135,f,1,1.414213562,14.29265546,1,2,6
98,441,t,Downtown,Apartment,Entire home/apt,3,1,1,Real Bed,37,204.28,100,f,moderate,t,381.7,f,21,1.732050808,14.29265546,1,1,7
98,441,t,Chinatown,Apartment,Entire home/apt,3,1,1,Real Bed,22,204.28,100,f,moderate,t,302.85,t,21,1.732050808,14.29265546,1.732050808,1,7
98,441,t,West End,Apartment,Entire home/apt,3,1,1,Real Bed,27,204.28,100,f,moderate,t,311.38,t,21,1.732050808,14.29265546,1,1,7
96.40529571,1,t,South Boston,Condominium,Entire home/apt,4,2,2,Real Bed,23,200,75,f,strict_14_with_grace_period,f,263.53,t,1,2,14.14213562,2.449489743,2,3
98,441,t,Back Bay,Apartment,Entire home/apt,3,1,1,Real Bed,34,204.28,100,f,moderate,t,333.46,f,21,1.732050808,14.29265546,2.236067977,1,7
98,441,t,Back Bay,Apartment,Entire home/apt,3,1,1,Real Bed,34,204.28,100,f,moderate,t,333.46,f,21,1.732050808,14.29265546,2.449489743,1,7
96.40529571,1,t,Downtown,Apartment,Entire home/apt,2,1.5,0,Real Bed,10,204.28,35,f,flexible,f,145.86,t,1,1.414213562,14.29265546,1,3,6
96.40529571,1,t,Back Bay,Apartment,Entire home/apt,4,1,1,Real Bed,19,200,100,f,strict_14_with_grace_period,f,250,t,1,2,14.14213562,1.732050808,2,6
96.40529571,1,f,Allston,House,Private room,2,1,1,Futon,11,204.28,72.07,f,flexible,f,120,t,1,1.414213562,14.29265546,1,4,6
96.40529571,1,f,South Boston,Apartment,Entire home/apt,2,1,1,Real Bed,12,204.28,72.07,f,moderate,f,225,t,1,1.414213562,14.29265546,1,3,6
96.40529571,2,t,Jamaica Plain,Apartment,Entire home/apt,8,1.5,4,Real Bed,22,300,100,f,strict_14_with_grace_period,f,300,t,1.414213562,2.828427125,17.32050808,1.414213562,2,3
96.40529571,1,t,Beacon Hill,Apartment,Entire home/apt,3,1,2,Real Bed,39,250,0,f,strict_14_with_grace_period,f,475,t,1,1.732050808,15.8113883,2.645751311,2,3
98,441,t,West End,Other,Entire home/apt,3,1,1,Real Bed,39,204.28,100,f,moderate,t,315.63,t,21,1.732050808,14.29265546,2.449489743,1,7
96.40529571,1,f,Brighton,Apartment,Private room,2,1.5,1,Real Bed,8,204.28,72.07,f,flexible,f,75,f,1,1.414213562,14.29265546,1,4,6
96.40529571,1,t,Fenway,Apartment,Private room,2,1,1,Real Bed,18,204.28,72.07,f,flexible,f,110,t,1,1.414213562,14.29265546,1,4,6
96.40529571,1,f,Jamaica Plain,Bed and breakfast,Private room,2,1,1,Real Bed,11,204.28,72.07,f,flexible,f,55,t,1,1.414213562,14.29265546,1.732050808,4,6
96.40529571,1,t,South End,Apartment,Private room,2,1,1,Real Bed,17,204.28,45,f,moderate,f,90,t,1,1.414213562,14.29265546,1,1,6
96.40529571,1,t,Mission Hill,Apartment,Private room,2,2,1,Real Bed,0,204.28,72.07,f,strict_14_with_grace_period,f,79,f,1,1.414213562,14.29265546,2.236067977,4,6
96.40529571,1,t,Back Bay,Apartment,Entire home/apt,3,1,1,Real Bed,13,204.28,40,f,moderate,f,199,t,1,1.732050808,14.29265546,5.916079783,1,6
0,1,t,South End,Apartment,Entire home/apt,2,1,1,Real Bed,12,200,75,f,strict_14_with_grace_period,f,250,t,1,1.414213562,14.14213562,1,2,4
96.40529571,1,t,Allston,House,Private room,4,1,1,Real Bed,19,200,35,f,flexible,f,75,t,1,2,14.14213562,1,4,6
100,1,t,Roslindale,House,Entire home/apt,5,1,1,Real Bed,17,500,35,f,strict_14_with_grace_period,t,300,t,1,2.236067977,22.36067977,8.246211251,1,3
90,4,t,Fenway,Apartment,Entire home/apt,2,1,1,Real Bed,12,500,72.07,f,moderate,f,175,t,2,1.414213562,22.36067977,2.828427125,1,6
90,30,t,Roxbury,Apartment,Private room,1,1,1,Real Bed,15,300,40,f,strict_14_with_grace_period,f,36,f,5.477225575,1,17.32050808,1,4,6
96.40529571,1,t,Allston,Apartment,Private room,2,1,1,Real Bed,5,204.28,72.07,f,flexible,f,45,f,1,1.414213562,14.29265546,1,4,6
96.40529571,1,t,North End,Loft,Entire home/apt,2,1,1,Real Bed,15,204.28,40,f,moderate,f,240,t,1,1.414213562,14.29265546,1,1,6
100,1,f,Dorchester,Apartment,Private room,2,1,1,Real Bed,11,204.28,72.07,t,flexible,f,61.64,f,1,1.414213562,14.29265546,3.16227766,5,6
96.40529571,2,t,South End,Apartment,Entire home/apt,3,1,1,Real Bed,8,204.28,72.07,f,strict_14_with_grace_period,f,160,f,1.414213562,1.732050808,14.29265546,2.236067977,2,6
96.40529571,1,t,South Boston,Apartment,Private room,3,1,1,Real Bed,14,100,35,f,moderate,f,97.55,f,1,1.732050808,10,5.830951895,1,6
96.40529571,1,f,Downtown,Apartment,Entire home/apt,2,1,1,Real Bed,11,204.28,72.07,f,flexible,f,225,t,1,1.414213562,14.29265546,1.414213562,3,6
96.40529571,1,t,Charlestown,Apartment,Private room,2,1,1,Real Bed,13,204.28,0,f,strict_14_with_grace_period,f,300,f,1,1.414213562,14.29265546,1,4,6
96.40529571,1,t,Back Bay,Apartment,Entire home/apt,4,1,1,Real Bed,12,500,30,f,strict_14_with_grace_period,f,230,t,1,2,22.36067977,1.414213562,2,6
96.40529571,1,t,Fenway,Apartment,Entire home/apt,4,1,0,Real Bed,12,204.28,72.07,f,moderate,f,195,f,1,2,14.29265546,1.732050808,1,6
